city,site_eui,energy_star_score,gross_floor_area_sqft,total_ghg_mtco2e,y_log_ghg
denver,61.2,79.0,,140.4,4.951592753462473
denver,107.7,15.0,,255.4,5.546738725046515
denver,80.3,42.0,,2108.3,7.654111417873225
denver,51.4,64.0,,1129.7,7.030592188941199
denver,46.3,81.0,,1613.3,7.3866567051634835
denver,73.3,91.0,,580.0,6.364750756851911
denver,40.6,95.0,,1021.3,6.929810269762968
denver,0.0,0.0,,0.0,0.0
denver,69.7,27.0,,1129.4,7.030326831370318
denver,79.3,48.0,,1364.4,7.21920270498418
denver,58.9,58.0,,601.5,6.40108766536481
denver,41.4,89.0,,803.1,6.689723639554104
denver,53.6,92.0,,245.7,5.508173023535311
denver,60.0,65.0,,2582.8,7.857016462526201
denver,42.2,98.0,,131.5,4.886582645426277
denver,59.8,82.0,,206.7,5.336094730882067
denver,54.0,86.0,,1416.0,7.256297239690681
denver,60.0,91.0,,155.0,5.049856007249537
denver,58.7,91.0,,331.4,5.806339062981293
denver,42.4,95.0,,250.3,5.526647444549546
denver,55.6,97.0,,1036.3,6.944376462437782
denver,68.6,53.0,,1205.7,7.095644640079555
denver,82.2,69.0,,167.2,5.125153747538848
denver,70.5,92.0,,518.3,6.252481750850273
denver,61.6,93.0,,533.4,6.281144622222436
denver,60.8,62.0,,1709.7,7.444657922458246
denver,73.9,69.0,,230.1,5.442850517280335
denver,80.4,79.0,,526.7,6.268527940411622
denver,56.1,91.0,,250.6,5.527840524826286
denver,69.5,94.0,,378.2,5.938063770380866
denver,75.6,15.0,,2292.9,7.738008704760082
denver,108.7,19.0,,670.5,6.509514015963292
denver,74.0,51.0,,364.6,5.901539839579995
denver,78.9,60.0,,282.4,5.64685932725658
denver,71.8,73.0,,289.5,5.671603576291966
denver,36.4,74.0,,384.1,5.953503040820864
denver,47.5,95.0,,227.2,5.430222437427975
denver,33.7,100.0,,570.1,6.347564325670818
denver,68.3,20.0,,445.6,6.101663339406057
denver,106.4,51.0,,235.9,5.46763811116474
denver,84.0,55.0,,197.1,5.288771953704505
denver,65.5,62.0,,295.3,5.691372454579519
