city,property_id,property_name,property_type,site_eui,energy_star_score,total_ghg_mtco2e,address,zip
denver,4407,VIRGINIA VILLAGE,Other - Mall,93.8,0.0,583.0,Portfolio Manager,80222
denver,3545,Saddleback Design,Other - Services,76.9,0.0,281.1,Portfolio Manager,80223
denver,2922,1177 Race St,Parking,84.6,47.0,623.5,Portfolio Manager,80206
denver,5281,Arapahoe Street Lofts,Parking,68.4,0.0,477.2,Portfolio Manager,80205
denver,2042,"Iron Mountain, DEN-1",DATA CENTER,991.2,34.0,30248.4,Portfolio Manager,80216
denver,4813,4346 South Monaco,Parking,2.1,0.0,43.6,Portfolio Manager,80237
denver,3619,North Star Rehabilitation and Care Community,RESIDENTIAL CARE FACILITY,132.6,0.0,348.3,Portfolio Manager,80219
denver,3447,151 Detroit Street,Parking,116.8,42.0,3368.9,Portfolio Manager,80206
denver,5821,Saint Joseph Hospital Medical Campus,Hospital (General Medical & Surgical),206.5,80.0,19220.5,Portfolio Manager,80218
denver,3226,Circa West,Apartment,,,,Portfolio Manager,80204
denver,5248,Deerfield,Apartment,,,,Portfolio Manager,80231
denver,2899,1430 Humboldt,Apartment,,,,Portfolio Manager,80218
denver,3484,Kavod East,Apartment,,,,Portfolio Manager,80209
denver,4122,Golfers Way,Apartment,,,,Portfolio Manager,80230
denver,5205,Clermont St Apartments,Apartment,,,,Portfolio Manager,80220
denver,5478,Alexan Cherry Creek,Apartment,,,,Portfolio Manager,80206
denver,2251,TwentyOne01-Simpson,Apartment,,,,Portfolio Manager,80205
denver,3943,Lowry North - Building 4-Holland,Apartment,,,,Portfolio Manager,80220
denver,4422,Stone Garden on Birch,Apartment,,,,Portfolio Manager,80246
denver,3210,Avondale Condominiums Association,Apartment,,,,Portfolio Manager,80204
denver,3575,Park Athmar,Apartment,,,,Portfolio Manager,80223
denver,4524,The Croft Apartment Homes,Apartment,,,,Portfolio Manager,80224
