city,property_id,property_name,property_type,site_eui,energy_star_score,total_ghg_mtco2e,zip,gross_floor_area_sqft
denver,1762,United Airlines Flight Training Center,ADULT EDUCATION,284.7,0.0,15714.3,80207,
denver,3595,Westwood Community Center,Other - Recreation,47.2,0.0,154.9,80219,
denver,3428,Daniels Fund,Parking,105.2,0.0,472.7,80206,
denver,4407,VIRGINIA VILLAGE,Other - Mall,93.8,0.0,583.0,80222,
denver,3545,Saddleback Design,Other - Services,76.9,0.0,281.1,80223,
denver,2922,1177 Race St,Parking,84.6,47.0,623.5,80206,
denver,5281,Arapahoe Street Lofts,Parking,68.4,0.0,477.2,80205,
denver,2042,"Iron Mountain, DEN-1",DATA CENTER,991.2,34.0,30248.4,80216,
denver,4813,4346 South Monaco,Parking,2.1,0.0,43.6,80237,
denver,3619,North Star Rehabilitation and Care Community,RESIDENTIAL CARE FACILITY,132.6,0.0,348.3,80219,
denver,3447,151 Detroit Street,Parking,116.8,42.0,3368.9,80206,
denver,5821,Saint Joseph Hospital Medical Campus,Hospital (General Medical & Surgical),206.5,80.0,19220.5,80218,
denver,3226,Circa West,Apartment,,,,80204,
denver,5248,Deerfield,Apartment,,,,80231,
denver,2899,1430 Humboldt,Apartment,,,,80218,
denver,3484,Kavod East,Apartment,,,,80209,
denver,4122,Golfers Way,Apartment,,,,80230,
denver,5205,Clermont St Apartments,Apartment,,,,80220,
denver,5478,Alexan Cherry Creek,Apartment,,,,80206,
denver,2251,TwentyOne01-Simpson,Apartment,,,,80205,
denver,3943,Lowry North - Building 4-Holland,Apartment,,,,80220,
denver,4422,Stone Garden on Birch,Apartment,,,,80246,
denver,3210,Avondale Condominiums Association,Apartment,,,,80204,
denver,3575,Park Athmar,Apartment,,,,80223,
denver,4524,The Croft Apartment Homes,Apartment,,,,80224,
denver,3941,Lowry North - Building 2-Holland,Apartment,,,,80220,
denver,3227,Renaissance at West End Flats,Apartment,,,,80204,
denver,3482,Kavod West,Apartment,,,,80209,
denver,2639,"Glenarm Residential, LLC",Apartment,,,,80202,
denver,3942,Lowry North - Building 3-Holland,Apartment,,,,80220,
denver,5693,Trenton,Apartment,,,,80220,
denver,2549,Offbroadway Lofts,Apartment,,,,80205,
denver,2641,Midland Condo Assoc Inc.,Apartment,,,,80202,
denver,5430,Kavod South,Apartment,,,,80209,
denver,2699,Renaissance Uptown Lofts,Apartment,,,,80203,
denver,2301,Veterans Apartments,Apartment,,,,80211,
denver,3120,800 Pennsylvania-Trinity,Apartment,,,,80203,
denver,3940,Lowry North-Holland,Apartment,,,,80220,
denver,5202,Studebaker Lofts,Apartment,,,,80202,
denver,3944,Lowry North - Building 5-Holland,Apartment,,,,80220,
denver,2240,The Metro (EPL),Apartment,,,,80202,
denver,3196,Mariposa Phase IV,Apartment,52.3,36.0,672.4,80204,
denver,5867,St. Francis Apartments at Cathedral Square,Apartment,56.0,54.0,295.6,80203,
denver,6015,The Quincy Apartments (tq36),Apartment,63.1,60.0,2966.4,80202,
denver,2872,Kingston,Apartment,79.8,67.0,201.6,80206,
denver,2264,North Central: Guadalupe Senior Apts.,Apartment,43.0,89.0,138.3,80211,
denver,6111,Platte Valley,Apartment,45.1,90.0,278.1,80205-3048,
denver,4602,Residences at University Hills,Apartment,31.5,92.0,705.6,80222,
denver,5913,Ogden Flats,Apartment,32.1,100.0,154.1,80218,
denver,5659,Westend Apartments (ws292),Apartment,84.5,41.0,2190.6,80202,
denver,6018,Parq on Speer,Apartment,44.4,86.0,2001.4,80204,
denver,4617,Veranda Highpointe - vd34,Apartment,41.1,92.0,1583.2,80124,
denver,5771,Bldg 43 - 690 S. Alton Way,Apartment,53.3,94.0,248.8,80247,
denver,2963,1075 Corona,Apartment,97.2,39.0,205.5,80218,
denver,2904,1390 High St. - Hightower,Apartment,104.2,50.0,288.6,80218,
denver,5038,5038 Building 4,Apartment,59.4,70.0,146.3,80123,
denver,6095,Alta SoBo Station (nb57),Apartment,48.4,98.0,866.4,80223,
denver,4387,Edge At Cherry Creek (dg005),Apartment,90.6,65.0,591.1,80246,
denver,4115,Building 8,Apartment,54.2,68.0,167.8,80230,
denver,5794,Bldg 66 - 300 S. Clinton St.,Apartment,52.2,92.0,251.9,80247,
denver,5747,Bldg 08 - 710 S. Clinton St.,Apartment,55.1,92.0,109.1,80247,
denver,4516,Monaco South: 2280 S. Monaco Pkwy,Apartment,63.1,94.0,320.7,80222,
denver,3410,Paragon Apartments,Apartment,47.8,96.0,132.2,80209,
denver,5720,"Emanuel Grant Co, LLC",Apartment,55.9,72.0,1232.4,80203,
denver,2928,La Scala Apartments,Apartment,97.9,74.0,194.4,80206,
denver,6007,Edison at Rino,Apartment,50.7,88.0,1304.8,80216,
denver,6036,The Kasserman,Apartment,27.9,92.0,537.5,80211,
denver,5552,Ogden Arms 945,Apartment,15.6,100.0,59.6,80218,
denver,2377,Liberty House,Apartment,102.7,19.0,249.0,80204,
denver,5468,Creekside (cr053),Apartment,68.1,71.0,1354.9,80246,
denver,1967,Holy Family,Apartment,75.1,81.0,306.2,80212,
denver,5683,Bldg 04 - 610 S. Clinton St.,Apartment,54.7,91.0,247.3,80247,
denver,5551,Cherry Creek Abbey Apartments,Apartment,35.0,85.0,426.6,80903,
denver,4808,Quincy Place,Apartment,85.6,5.0,616.9,80237,
denver,2673,One City Block,Apartment,76.2,18.0,2175.1,80203,
denver,4117,Building 11,Apartment,69.4,40.0,198.3,80230,
denver,5915,La Villa de Barela,Apartment,88.3,50.0,364.1,80204,
denver,4124,Pine Creek Apartment Bldg 1,Apartment,83.6,64.0,209.1,80247,
denver,5748,Bldg 06 - 650 S. Clinton St.,Apartment,46.4,95.0,231.9,80247,
denver,2578,Chamber Lofts,Apartment,76.6,8.0,674.9,80202,
denver,5425,Syracuse,Apartment,88.3,27.0,714.5,80237,
